ISO Code,Location,Original Region
PRY,Paraguari,"South-East (Guaira, Misiones, Paraguari, Neembucu)"
TUV,Nanumaga,"Nanumea, Nanumaga, Niutao"
VNM,North Central Coast,North Central Coast and South Central Coast
PHL,Eastern Visayas,VIII-Eastern Visayas
COL,Medellin,Antioquia (incl Medellin)
EGY,Red Sea,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
EGY,Sharkia,Sharkia
GMB,Basse,Basse
IDN,North Sumatra,North Sumatra
KAZ,(incl,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)"
EGY,Menya,Menya
VEN,Region Los Llanos, Region Los Llanos
IND,Orissa,Orissa
KIR,Souyth Tarawa,Souyth Tarawa
PAN,Area Metropolitana, Area Metropolitana
GNQ,Kie Ntem,Kie Ntem
UGA,West Nile," Northern (North, Karamoja, West Nile)"
IDN,East Java,East Java
GNQ,Wele Nzas,Wele Nzas
MYS,Saba," East Malaysia (Saba, Sarawak)"
TUR,Igdir,"North East Anatolia (Agri, Erzincan, Erzurum, Kars, Bayburt, Ardahan, Igdir)"
VEN,Bolivar,Bolivar
GNQ,Annobon,"Annobon, Bioko"
ARG,NOA,NOA
BFA,Plateau Central,Plateau Central
COD,Kasai Occidental,Kasai Occidental
KAZ,city,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)"
AZE,Baku,Baku
NGA,Zamfora,Zamfora
PAK,Gilgit Baltistan,Gilgit Baltistan
URY,Florida,"Centro Sur (Flores, Florida and Lavalleja)"
GTM,North-Occidental,North-Occidental
TUN,Kasserine,"Centre Ouest (Kairouan, Kasserine, Sidi Bouzid)"
WSM,Apia Urban Area,Apia Urban Area
IRQ,Thi-Qar,Thi-Qar
MNG,Khentii,"Eastern (Dornod, Sukhbaatar, Khentii)"
COL,Sucre,Sucre
CHN,Xinjiang,Xinjiang
GTM,South-Oriental,South-Oriental
CMR,Sud Ouest,Sud Ouest
CMR,Sud,Sud
AFG,Daikundi,Central Highlands (Bamyan Daikundi)
IND,Jammu,Jammu and Kashmir
PHL,Central Visayas,VII-Central Visayas
HND,Intibuca,Intibuca
CAF,Nana Grebizi,"RS I (Ombella Mpoko, Lobaye, Kemo, Nana Grebizi, Ouaka)"
SLV,Oriental,Oriental
COL,Vaupis,Vaupis
ARG,Pampeana,Pampeana
EGY,South Sainai,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
IDN,Sulawesi,South Sulawesi (incl Sulawesi Barat)
SOM,Togdhere,Togdhere
MNG,Tuv,"Central (Dornogovi, Dundgovi, Umnugovi, Selenge, Tuv, Darkhan-Uul, Govisumber)"
COL,Cordoba,Cordoba
TKM,Ashgabat City,Ashgabat City
TUR,South East Anatolia (Adiyaman,"South East Anatolia (Adiyaman, Diyarbakir, Gaziantep, Mardin, Siirt, Sanliurfa, Batman, Sirnak, Kili"
MEX,Nuevo Leon," Noreste (Aguascalientes, Coahuila, Guanajuato, Nuevo Leon, Queretaro, San Luis Potosi, Tamaulipas,"
LAO,Sayabury,Sayabury
UGA,Busoga,East Central (Busoga)
CHN,Ningxia," Gansu, Qinghai, Ningxia, Xinjiang"
LBR,South Eastern B, South Eastern B
TGO,Centrale,Centrale
MNG,Darkhan-Uul,"Central (Dornogovi, Dundgovi, Umnugovi, Selenge, Tuv, Darkhan-Uul, Govisumber)"
KEN,Rift Valley,Rift Valley
CRI,Limon,Limon
