ISO Code,Location,Original Region
TUR,Central Anatolia (Kayseri,"Central Anatolia (Kayseri, Kirsehir, Nevsehir, Nig"
FIN,Etela-Suomi,Etela-Suomi
KHM,Tboung,Kampong Cham (incl Tboung Khmum)
CIV,Sud Ouest,Sud Ouest
VEN,Amacuros Delta Federal Territory,Amacuros Delta Federal Territory
COL,Amazonas,Amazonas
BTN,Lhuntse,Lhuntse
FRA,Lorraine,Lorraine
GAB,Woleu Ntem,Woleu Ntem
PRY,Guaira,"South-East (Guaira, Misiones, Paraguari, Neembucu)"
VEN,Tachira,Tachira
BRB,St. John,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
SYR,Al Swida - Sweida,Al Swida - Sweida
MYS,Terengganu,Terengganu
VEN,Guarico,Guarico
LSO,Mohale s Hoek,Mohale s Hoek
IDN,East Java,East Java
BFA,Plateau Central,Plateau Central
PAN,Cocle,Cocle
CZE,Severozapad,Severozapad
IND,Punjab,Punjab
CHE,Central Switzerland,Central Switzerland
TJK,GBAO,GBAO
TLS,Lautem,Lautem
VEN,Federal District,Federal District
TUR,Canakkale,"West Marmara (Balikesir, Canakkale, Edirne, Kirkla"
ARG,Cuyo,Cuyo
KHM,Pousat,Pousat
LAO,Borikhamxay,Borikhamxay
TUR,Eskiseh,"East Marmara (Bilecik, Bolu, Bursa, Duzce, Eskiseh"
ERI,Asmara,Maekel (Central including Asmara)
MEX,Mexico,Mexico
SYR,Al Raka-Raqqa,Al Raka-Raqqa
VNM,Central Highlands,Central Highlands
SWE,Norra Mellansverige,Norra Mellansverige
GMB,Basse,Basse
HUN,Del-Alfold,Del-Alfold
TUN,Beja,"Nord Ouest (Beja, Jendouba, Kef, Siliana)"
ROU,Vest,Vest
CUB,C. Habana,C. Habana
CAF,Houte Mbormou,"RS V (Basse Kotto, Mbornou, Houte Mbormou)"
KAZ,(incl,"North region (Akmolinskaya (incl Astana city), Kostnaiskaya, Pavlodarskaya, North-Kazakhstanskaya)"
GRC,Notio Aigaio,Notio Aigaio
PAN,Ngobe Bugle,Ngobe Bugle
IND,Chandigarth,Chandigarth
POL,Slaskie,Slaskie
DZA,Boumerdes,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)"
TCD,Logone Occidental & Oriental,"Zone 7 (Logone Occidental & Oriental, Monts de Lam, Tandjile Est & Ouest)"
SRB,West Serbia,Sumadija and West Serbia
AFG,Herat,West (Ghor Herat Badghis Farah)
GRC,Attiki,Attiki
TUR,West Black Sea (Amasya,"West Black Sea (Amasya, Cankiri, Corum, Kastamonu,"
CUB,S.Spiritus,S.Spiritus
KAZ,Aktyubinskaya,"West region (Aktyubinskaya, Atyrauskaya, Mangistauskaya, West-Kazakhstanskaya)"
BFA,Boucle de Mouhoun,Boucle de Mouhoun
BOL,La Paz,La Paz
CHE,Zurich,Zurich
NGA,Abuja FCT,Abuja FCT
RUS,The Far East  Federal District,The Far East  Federal District
GAB,Moyen Ogooue,Moyen Ogooue
CZE,Jihozapad,Jihozapad
COG,Cuvette Ouest, Cuvette Ouest
BRB,St. Lucy,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
JOR,Aljoun,Aljoun
RUS,The South Federal District,The South Federal District
IDN,Sulawesi,South Sulawesi (incl Sulawesi Barat)
HUN,Nyugat-Dunantul,Nyugat-Dunantul
