ISO Code,Location,Original Region
LAO,Savannakhet,Savannakhet
PRY,Canideyu,"North-East (Caaguazu, Alto Parana, Canideyu)"
SOM,Middle Juba,Middle Juba
MEX,Nuevo Leon,Nuevo Leon
GRC,Thessalia,Thessalia
GBR,East of England,East of England
MDG,Atsimo Atsinanana,Atsimo Atsinanana
PRT,Centro,Centro
BRA,Goias,Goias
COL,Bogota D.C.,Bogota D.C.
GAB,Haut Ogooue,Haut Ogooue
CPV,Fogo,Fogo
HND,Santa Barbara,Santa Barbara
GAB,Ngounie,Ngounie
NIC,Esteli,"Central-Norte (Boaco, Chontales, Jinotega, Matagalpa, Esteli, Madriz, Nueva Segovia)"
CIV,Ouest,Ouest
SYR,Al Hasaka,Al Hasaka
BEN,Plateau,Queme (incl Plateau)
SRB,West Serbia,Sumadija and West Serbia
KAZ,Karagandinskaya,Central region (Karagandinskaya)
ARG,Patagonia,Patagonia
COL,Caqueta,Caqueta
BIH,Northern Bosnia,Northern Bosnia
NOR,Hedmark og Oppland,Hedmark og Oppland
CAN,Labrador,Newfoundland and Labrador
KAZ,South-Kazakhstanskaya,"South region (Almatinskaya, Zhambylskaya, Kyzylordinskaya, South-Kazakhstanskaya)"
HUN,Del-Alfold,Del-Alfold
DOM,Samana,"Region III (Duarte, Maria Trinidad Sanchez, Salcedo, Samana)"
AUT,Niederosterreich,Niederosterreich
IRQ,Thi-Qar,Thi-Qar
PRT,Alentejo,Alentejo
PAK,ICT,Islamabad (ICT)
KHM,Mondol Kiri-Rotanak Kiri,Mondol Kiri-Rotanak Kiri
HND,Francisco Morazan,Francisco Morazan
CHL,former,Valparaiso (former Aconcagua)
LSO,Mohale s Hoek,Mohale s Hoek
LTU,Siauliai County,Siauliai County
HRV,Bjelovar-Bilogora,County of Bjelovar-Bilogora
CAF,Nana Grebizi,"RS I (Ombella Mpoko, Lobaye, Kemo, Nana Grebizi, Ouaka)"
THA,Northeast,Northeast
GMB,Janjabureh,Janjabureh
IDN,West Sumatra,West Sumatra
KHM,Siem Reab-Otdar Mean Chey,Siem Reab-Otdar Mean Chey
IDN,DI Yogyakarta,DI Yogyakarta
DOM,Elias Pina,"Region VI (San Juan, Elias Pina)"
NGA,Adamawa,Adamawa
SWE,Ovre Norrland,Ovre Norrland
IRL,Border,Border
TCD,Ennedi,"Zone 2 (Borkou, Ennedi, Tibesti, Kanem, Barh El Gazal, Lac)"
BTN,Chukha,Chukha
MAR,Centre north,Centre north
MOZ,Maputo Cidade,Maputo Cidade
COL,Sucre,Sucre
CZE,Jihovychod,Jihovychod
GRC,Attiki,Attiki
WSM,North West Upolu,North West Upolu
AZE,Yukhari Karabakh,Yukhari Karabakh
AZE,Ganja Gazakh,Ganja Gazakh
CZE,Stredni Morava,Stredni Morava
GTM,South-Occidental,South-Occidental
SVN,Obalno-kraska,Obalno-kraska
LTU,Utena County,Utena County
CUB,Camaguey,Camaguey
CRI,Limon,Limon
LVA,Pieriga,Pieriga region
IND,Nagar Haveli,Dadra and Nagar Haveli
BEL,Prov. Brabant Wallon,Prov. Brabant Wallon
KOR,Gyeongbuk,Gyeongbuk Region
TUR,Ispa,"Mediterranean (Adana, Antalya, Burdur, Hatay, Ispa"
COG,Sangha, Sangha
IRN,Chaharmahal,Chaharmahal and Bakhtiyari
CHE,Espace Mittelland,Espace Mittelland
HUN,Kozep-Magyarorszag,Kozep-Magyarorszag
FJI,Bua,"Cakaudrove, Bua"
PAK,Gilgit Baltistan,Gilgit Baltistan
HND,Cortes,Cortes
FRA,Lorraine,Lorraine
HND,Islas de la Bahia,Islas de la Bahia
NOR,Sor-Ostlandet,Sor-Ostlandet
VEN,Tachira,Tachira
CZE,Stredni Cechy,Stredni Cechy
DJI,Other Districts,Other Districts
COM,Moheli,Moheli
ETH,SNNP,SNNP
IDN,West Java,West Java
TUN,Medinine,"Sud Est (Gabes, Medinine, Tataouine)"
BGR,Yuzhen tsentralen,Yuzhen tsentralen
AGO,Bie, Bie
PHL,ARMM,ARMM
PAN,Ngobe Bugle,Ngobe Bugle
TCD,Assongha,"Zone 4 (Ouaddai, Assongha, Sila, Biltine - Wadi Fira)"
AZE,Shaki Zaqatala,Shaki Zaqatala
KIR,Phoenix Group,Line and Phoenix Group
GEO,Imereti Racha-Lochkhumi Kvemo Svaneti,Imereti Racha-Lochkhumi Kvemo Svaneti
AGO,Kuanza Norte, Kuanza Norte
CHL,Rios,Los Lagos (incl Los Rios)
LAO,Borikhamxay,Borikhamxay
STP,Regiao Centro,Regiao Centro
ROU,Sud-Vest Oltenia,Sud-Vest Oltenia
EGY,Dakahlia,Dakahlia
ESP,Illes Balears,Illes Balears
FRA,Poitou-Charentes,Poitou-Charentes
TLS,Liquica,Liquica
BEL,Prov. West-Vlaanderen,Prov. West-Vlaanderen
HRV,Brod-Posavina,County of Brod-Posavina
SWE,Ostra Mellansverige,Ostra Mellansverige
GRC,Kentriki Makedonia,Kentriki Makedonia
PER,San Martin,"North East (Amazonas, Loreto, San Martin, Ucayali)"
PHL,Ilocos,I-Ilocos
CUB,Guantanamo,Guantanamo
TUN,Gabes,"Sud Est (Gabes, Medinine, Tataouine)"
LTU,Alytus County,Alytus County
KWT,Al Asimah,"Al Asimah, Hawalli, Al-Farwaniyah, Mubarak al-Sabah"
IND,Chandigarth,Chandigarth
LBY,Cyrenaica,Cyrenaica
HUN,Eszak-Alfold,Eszak-Alfold
MDV,South Central,South Central
POL,Swietokrzyskie,Swietokrzyskie
CIV,Nord,Nord
CMR,Ouest,Ouest
JAM,St James,"St James, Hanover, Westmoreland"
BFA,Ouagadougou,Centre (incl Ouagadougou)
LAO,Xiengkhuang,Xiengkhuang
TCD,Ouest,Zone 6 (Mayo-Kebbi Est and Ouest)
YEM,Bayda,"Beida (Al Bayda), Dhamar, Raimah"
KAZ,Kyzylordinskaya,"South region (Almatinskaya, Zhambylskaya, Kyzylordinskaya, South-Kazakhstanskaya)"
COD,Orientale,Orientale
ROU,Vest,Vest
ECU,Coste,Coste
GNQ,Bioko,"Annobon, Bioko"
PRT,Regiao Autonoma dos Acores,Regiao Autonoma dos Acores
TGO,Savanes,Savanes
CAN,Quebec,Quebec
GTM,North-Occidental,North-Occidental
SLV,Central I,Central I
MOZ,Maputo Provincia,Maputo Provincia
BGD,Brahmanbaria," Brahmanbaria, Chandpur, Comilla"
EGY,New Valley,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
MYS,Terengganu,Terengganu
KIR,Northern Gilbert,Northern Gilbert
PAN,Chiriqui,Chiriqui
CUB,S.Spiritus,S.Spiritus
EGY,South Sainai,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)"
KWT,Al-Farwaniyah,"Al Asimah, Hawalli, Al-Farwaniyah, Mubarak al-Sabah"
SWE,Sydsverige,Sydsverige
BRA,Sao Paulo,Sao Paulo
KAZ,Atyrauskaya,"West region (Aktyubinskaya, Atyrauskaya, Mangistauskaya, West-Kazakhstanskaya)"
KWT,Al-Jahra,Al-Jahra
CAF,Mbornou,"RS V (Basse Kotto, Mbornou, Houte Mbormou)"
ESP,Castilla y Leon,Castilla y Leon
MMR,Taninthayi,Taninthayi
POL,Dolnoslaskie,Dolnoslaskie
VEN,Bolivar,Bolivar
EGY,Menoufia,Menoufia
LAO,Champasack,Champasack
SLV,Central II,Central II
IDN,East Java,East Java
EGY,Kalyubia,Kalyubia
RUS,The Central Federal District,The Central Federal District
BDI,Mairie de Bujumbura,"West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)"
PHL,Zamboanga Peninsula,IX-Zamboanga Peninsula
DOM,Sanchez Ramirez,"Region VIII (La Vega, Monsenor Nouel, Sanchez Ramirez)"
IDN,East Timor,East Timor
NGA,Zamfora,Zamfora
VNM,Red River Delta,Red River Delta
KHM,Preah Vihear-Stueng Traeng-Kracheh,Preah Vihear-Stueng Traeng-Kracheh
MKD,Poloski,Poloski
CUB,Holguin,Holguin
GRC,Thraki,"Anatoliki Makedonia, Thraki"
FRA,Rhone-Alpes,Rhone-Alpes
PRY,Alto Parana,"North-East (Caaguazu, Alto Parana, Canideyu)"
BGR,Severozapaden,Severozapaden
HND,Valle,Valle
CAF,Kemo,"RS I (Ombella Mpoko, Lobaye, Kemo, Nana Grebizi, Ouaka)"
NOR,Nord-Norge,Nord-Norge
GBR,London,London
PER,Amazonas,"North East (Amazonas, Loreto, San Martin, Ucayali)"
IND,Orissa,Orissa
CHL,Bio Bio,Bio Bio
FRA,Aquitaine,Aquitaine
