ISO Code,Location,Original Region
AFG,Daikundi,Central Highlands (Bamyan Daikundi)
AFG,Helmand,South (Uruzgan Helmand Zabul Nimroz Kandahar)
AFG,Herat,West (Ghor Herat Badghis Farah)
AFG,Sar-e-Pul,North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)
AGO,Bie, Bie
AGO,Huila, Huila
AGO,Kuando Kubango, Kuando Kubango
AGO,Kuanza Norte, Kuanza Norte
AGO,Kuanza Sul, Kuanza Sul
ALA,Aland,Aland
ALB,Diber, Diber
ALB,Durres, Durres
ALB,Gjirokaster, Gjirokaster
ALB,Korce, Korce
ALB,Kukes, Kukes
ALB,Lezhe, Lezhe
ALB,Shkoder, Shkoder
ALB,Vlore, Vlore
ARG,Cuyo,Cuyo
ARG,Gran Buenos Aires,Gran Buenos Aires
ARG,NEA,NEA
ARG,NOA,NOA
ARG,Pampeana,Pampeana
ARG,Patagonia,Patagonia
AUS,Ashmore,"Ashmore and Cartier Islands, Coral Sea Islands Territory"
AUS,Cartier Islands,"Ashmore and Cartier Islands, Coral Sea Islands Territory"
AUT,Karnten,Karnten
AUT,Niederosterreich,Niederosterreich
AUT,Oberosterreich,Oberosterreich
AZE,Baku,Baku
AZE,Dakhlik Shirvan,Dakhlik Shirvan
AZE,East Zangezur,East Zangezur
AZE,Ganja Gazakh,Ganja Gazakh
AZE,Guba Khachmaz,Guba Khachmaz
AZE,Shaki Zaqatala,Shaki Zaqatala
AZE,Yukhari Karabakh,Yukhari Karabakh
BDI,Buja Rural,"West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)"
BDI,Mairie de Bujumbura,"West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)"
BEL,Bruxelles - Brussel,Bruxelles - Brussel
BEL,Prov. Antwerpen,Prov. Antwerpen
BEL,Prov. Brabant Wallon,Prov. Brabant Wallon
BEL,Prov. Hainaut,Prov. Hainaut
BEL,Prov. Liege,Prov. Liege
BEL,Prov. Limburg,Prov. Limburg
BEL,Prov. Luxembourg,Prov. Luxembourg
BEL,Prov. Namur,Prov. Namur
BEL,Prov. Oost-Vlaanderen,Prov. Oost-Vlaanderen
BEL,Prov. Vlaams-Brabant,Prov. Vlaams-Brabant
BEL,Prov. West-Vlaanderen,Prov. West-Vlaanderen
BEN,Plateau,Queme (incl Plateau)
BFA,Boucle de Mouhoun,Boucle de Mouhoun
BFA,Est,Est
BFA,Hauts Bassins,Hauts Bassins
BFA,Nord,Nord
BFA,Ouagadougou,Centre (incl Ouagadougou)
BFA,Plateau Central,Plateau Central
BFA,Sud-Ouest,Sud-Ouest
BGD,Brahmanbaria," Brahmanbaria, Chandpur, Comilla"
BGD,Cox s Bazar," Bandarban, Cox s Bazar"
BGD,Gopalganj," Gopalganj, Madaripur, Munshiganj, Shariatpur"
BGD,Jaypurhat," Bogra, Gaibandha, Jaypurhat"
BGR,Severen tsentralen,Severen tsentralen
BGR,Severoiztochen,Severoiztochen
BGR,Severozapaden,Severozapaden
BGR,Yugoiztochen,Yugoiztochen
BGR,Yugozapaden,Yugozapaden
BGR,Yuzhen tsentralen,Yuzhen tsentralen
BIH,Northern Bosnia,Northern Bosnia
BIH,Republica Srpska,Republica Srpska
BIH,Western Bosnia,Western Bosnia
BIH,Western herzegovina,Western herzegovina
BLZ,Corozal,"Corozal, Orange Walk"
BOL,La Paz,La Paz
BOL,Potosi,Potosi
BRA,Amapa,Amapa
BRA,Ceara,Ceara
BRA,Distrito Federal,Distrito Federal
BRA,Espirito Santo,Espirito Santo
BRA,Goias,Goias
BRA,Maranhao,Maranhao
BRA,Paraiba,Paraiba
BRA,Piaui,Piaui
BRA,Rondonia,Rondonia
BRA,Sao Paulo,Sao Paulo
BRB,St Michael,St Michael
BRB,St. Andrew,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
BRB,St. George,"St. James, St. George, and St. Thomas"
BRB,St. James,"St. James, St. George, and St. Thomas"
BRB,St. John,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
BRB,St. Joseph,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
BRB,St. Lucy,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
BRB,St. Peter,"St. Lucy, St. Peter, St. Andrew, St. Joseph, and St. John"
BRB,St. Philip,Christ Church and St. Philip
BRB,St. Thomas,"St. James, St. George, and St. Thomas"
BTN,Chukha,Chukha
BTN,Lhuntse,Lhuntse
BTN,Wangdi,Wangdi
BWA,Ngamiland,"North-West, Ngamiland"
CAF,Baminigui Bangoran,"RS IV (Haute-Kotto, Baminigui Bangoran, Vakaga)"
CAF,Basse Kotto,"RS V (Basse Kotto, Mbornou, Houte Mbormou)"
CAF,Houte Mbormou,"RS V (Basse Kotto, Mbornou, Houte Mbormou)"
CAF,Kemo,"RS I (Ombella Mpoko, Lobaye, Kemo, Nana Grebizi, Ouaka)"
CAF,Mambera Kadei,"RS II (Mambera Kadei, Nana Mambere, Sangha Mbaere)"
CAF,Mbornou,"RS V (Basse Kotto, Mbornou, Houte Mbormou)"
CAF,Nana Grebizi,"RS I (Ombella Mpoko, Lobaye, Kemo, Nana Grebizi, Ouaka)"
CAF,Nana Mambere,"RS II (Mambera Kadei, Nana Mambere, Sangha Mbaere)"
CAF,Ombella Mpoko,"RS I (Ombella Mpoko, Lobaye, Kemo, Nana Grebizi, Ouaka)"
CAF,Ouham Pende,"RS III (Ouham Pende, Ouham)"
CAF,Sangha Mbaere,"RS II (Mambera Kadei, Nana Mambere, Sangha Mbaere)"
CAN,Labrador,Newfoundland and Labrador
CAN,Quebec,Quebec
CHE,Central Switzerland,Central Switzerland
CHE,Eastern Switzerland,Eastern Switzerland
CHE,Espace Mittelland,Espace Mittelland
CHE,Lake Geneva,Lake Geneva region
CHE,Northwestern Switzerland,Northwestern Switzerland
CHE,Zurich,Zurich
CHL,Aisen,Aisen
CHL,Arbucania,Arbucania
CHL,Bio Bio,Bio Bio
CHL,Centro V - VII, Centro V - VII
CHL,La Antartica Chilena,Magallanes and La Antartica Chilena
CHL,Los,Los Lagos (incl Los Rios)
CHL,Magallanes,Magallanes and La Antartica Chilena
CHL,Norte I - IV, Norte I - IV
CHL,OHiggins,OHiggins
CHL,Region Metropolitana,Region Metropolitana
CHL,Rios,Los Lagos (incl Los Rios)
CHL,Sur VIII - XII, Sur VIII - XII
CHL,former,Valparaiso (former Aconcagua)
CHN,Guangxi Zhuang,Guangxi Zhuang
CHN,Hongkong,Hongkong
CHN,Inner Mongolia," Henan, Shanxi, Shaanxi, Inner Mongolia"
CHN,Inner Mongolia,Inner Mongolia
CHN,Ningxia," Gansu, Qinghai, Ningxia, Xinjiang"
CHN,Ningxia,Ningxia
CHN,Tibet," Chongqing, Sichuan, Guizhou, Yunnan, Tibet"
CHN,Tibet,Tibet
CHN,Xinjiang," Gansu, Qinghai, Ningxia, Xinjiang"
CHN,Xinjiang,Xinjiang
CIV,Bas Sassandra,Bas Sassandra
CIV,Centre,Centre
CIV,Centre Est,Centre Est
CIV,Centre Nord,Centre Nord
CIV,Centre Ouest,Centre Ouest
CIV,Comoe,Comoe
CIV,Denguele,Denguele
CIV,Goh-Djiboua,Goh-Djiboua
CIV,Nord,Nord
