MERGE Category,Data Source,Original Variable Name,Modified Variable Name/Label,Unit,MERGE Pre-Calculation,Description,Selected Value (Areal Calculation),Temperal Coverage,Temperal Resolution,Geo Coverage,Original DB Table Name,Original Data Source
Events,EM-DAT & IDMC-GIDD - Event - Disaster Displacement data,event_id,Event ID,-,,MERGE Assigned,-,2000 to 2024,Daily,Admin Level 0-2,events,"EMDAT, IDMC"
Events,EM-DAT & IDMC-GIDD - Event - Disaster Displacement data,event_name,Event Name,-,,MERGE Assigned {iso3_code}_{disaster_type}_{disaster_subtype}_{start_time}_{short_uuid} If NaN: use prefix 'UNKNOWN'-<variables name>,-,2000 to 2024,Daily,Admin Level 0-2,events,"EMDAT, IDMC"
Events,EM-DAT & IDMC-GIDD - Event - Disaster Displacement data,iso3_code,ISO3 (GADM - GID),-,,MERGE modified to match GADM v4.1,-,2000 to 2024,Daily,Admin Level 0-2,events,"EMDAT, IDMC"
Events,EM-DAT & IDMC-GIDD - Event - Disaster Displacement data,admin_level_0,Administrative Name - Level 0,-,,MERGE modified to match GADM v4.1,-,2000 to 2024,Daily,Admin Level 0-2,events,"EMDAT, IDMC"
Events,EM-DAT & IDMC-GIDD - Event - Disaster Displacement data,admin_level_1,Administrative Name List - Level 1,-,,"Admin level 1 names extracted from original data set. EM-DAT from Admin Units, IDMC from event name. Might not match GADM''s admin level.",-,2000 to 2024,Daily,Admin Level 0-2,events,"EMDAT, IDMC"
Events,EM-DAT & IDMC-GIDD - Event - Disaster Displacement data,admin_level_2,Administrative Name List - Level 2,-,,"Admin level 2 names extracted from original data set. EM-DAT from Admin Units, IDMC from event name. Might not match GADM''s admin level.",-,2000 to 2024,Daily,Admin Level 0-2,events,"EMDAT, IDMC"
Events,EM-DAT & IDMC-GIDD - Event - Disaster Displacement data,source,Source,-,,EMDAT or IDMC,-,2000 to 2024,Daily,Admin Level 0-2,events,"EMDAT, IDMC"
Events,EM-DAT & IDMC-GIDD - Event - Disaster Displacement data,metadata,Metadata,-,,Original data transformed into single JSON data,-,2000 to 2024,Daily,Admin Level 0-2,events,"EMDAT, IDMC"
Events,EM-DAT,disaster_group,Disaster Group,-,,"The disaster group, i.e., “Natural” or “Technological.” See Disaster Classification System.",-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
Events,EM-DAT,disaster_subgroup,Disaster Sub Group,-,,The disaster subgroup. See Disaster Classification System.,-,2000 to 2024,Daily,Admin Level 0-2,events,EMDAT
